name,link,author,rating,language,genre,chapters,words,reviews,favs,follows,updated,published,characters,complete
Embers,https://www.fanfiction.net/s/5398503/1/Embers,Vathara,T,English,Adventure/Family,91,757722,9241,7135,3865,1/18/2014,9/24/2009,"Zuko, Iroh",True
Another Brother,https://www.fanfiction.net/s/4414541/1/Another-Brother,AvocadoLove,T,English,Adventure/Hurt/Comfort,36,291778,4625,6184,5997,6/17,7/22/2008,"Aang, Sokka, Zuko, Katara",False
Stormbenders,https://www.fanfiction.net/s/4088139/1/Stormbenders,Fandomme,T,English,Adventure/Romance,18,171033,2940,4482,1260,7/20/2008,2/21/2008,"Katara, Zuko",True
Tempest in a Teacup,https://www.fanfiction.net/s/2847752/1/Tempest-in-a-Teacup,AkaVertigo,T,English,Romance,22,34018,1284,4269,1240,10/30/2006,3/17/2006,"Katara, Zuko",True
Morality Chain,https://www.fanfiction.net/s/5827377/1/Morality-Chain,Pureauthor,K+,English,Family/Friendship,41,243969,2023,3586,3751,9/12/2018,3/19/2010,"Azula, Zuko",False
The Sparrowkeet Series,https://www.fanfiction.net/s/7182968/1/The-Sparrowkeet-Series,audreyii-fic,M,English,Romance/Angst,21,89475,1159,3313,1459,12/21/2018,7/15/2011,"Katara, Zuko",True
His Majesty Prefers Blue,https://www.fanfiction.net/s/6240707/1/His-Majesty-Prefers-Blue,ShamelessLiar,M,English,Adventure/Humor,50,212173,2931,3309,1260,1/7/2012,8/15/2010,"Katara, Zuko",True
Reluctant Hero,https://www.fanfiction.net/s/5942075/1/Reluctant-Hero,P.A.W.07,T,English,Drama/Adventure,43,215859,2197,3260,3637,5/8,5/2/2010,"Aang, Zuko, Iroh",False
The Undying Fire: Balance,https://www.fanfiction.net/s/8090364/1/The-Undying-Fire-Balance,Boogum,T,English,Adventure/Friendship,16,76454,3044,2901,3103,5/7,5/6/2012,"[Zuko, Katara] Aang, Azula",True
My Heart Burns for You,https://www.fanfiction.net/s/4527436/1/My-Heart-Burns-for-You,alwaysZutarian,M,English,Romance/Drama,75,889194,6775,2744,2659,1/26,9/8/2008,"[Zuko, Katara]",False
Bringing Out the Blue,https://www.fanfiction.net/s/6904038/1/Bringing-Out-the-Blue,maguena1,T,English,Adventure/Friendship,26,249291,1203,2701,2640,6/24/2015,4/14/2011,Zuko,False
Dancing in the Dark,https://www.fanfiction.net/s/3191594/1/Dancing-in-the-Dark,DamageCtrl,T,English,,7,64257,983,2509,472,10/27/2006,10/9/2006,"Katara, Zuko",True
Rhythm of the Rain,https://www.fanfiction.net/s/3108579/1/Rhythm-of-the-Rain,DamageCtrl,T,English,Romance,25,251513,1543,2381,483,9/24/2006,8/16/2006,"Katara, Zuko",True
Enslaved,https://www.fanfiction.net/s/5306755/1/Enslaved,sharkflip,T,English,Romance,36,109414,1906,2327,2153,3/23/2016,8/16/2009,"Katara, Zuko",False
The Black Games,https://www.fanfiction.net/s/7023280/1/The-Black-Games,Mrs Pettyfer,M,English,Adventure/Romance,37,183863,2004,2279,846,4/18/2012,5/26/2011,"Katara, Zuko",True
Love Thy Enemy,https://www.fanfiction.net/s/2489434/1/Love-Thy-Enemy,RedNovember,T,English,Romance/Adventure,20,136905,2000,2239,956,3/26/2006,7/17/2005,"Zuko, Katara",True
Ozai's Vengeance,https://www.fanfiction.net/s/3688040/1/Ozai-s-Vengeance,Fandomme,T,English,Drama/Romance,21,105597,1279,2097,473,2/8/2008,7/28/2007,"Katara, Zuko",True
Balance,https://www.fanfiction.net/s/7296196/1/Balance,VickyVicarious,T,English,Friendship,1,2701,150,2046,345,,8/17/2011,"Sokka, Zuko",True
In the Same Candlelight,https://www.fanfiction.net/s/7009127/1/In-the-Same-Candlelight,Like A Dove,T,English,Humor/Romance,26,76747,1602,1980,613,1/2/2012,5/21/2011,"Katara, Zuko",True
Gladiator,https://www.fanfiction.net/s/9140366/1/Gladiator,Seyary-Minamoto,M,English,Adventure/Romance,166,2075107,4162,1959,1970,7/5,3/26/2013,"[Sokka, Azula]",False
Open Your Mind,https://www.fanfiction.net/s/8731565/1/Open-Your-Mind,Plague's Vengeance,T,English,Humor/Romance,66,694327,1334,1922,1306,5/20/2015,11/23/2012,"Zuko, OC",True
A Matter of Honor,https://www.fanfiction.net/s/4381366/1/A-Matter-of-Honor,Adridere,M,English,Humor/Romance,33,185294,1394,1767,572,1/1/2009,7/8/2008,"Toph, Aang",True
Dragons in the Sun,https://www.fanfiction.net/s/6558645/1/Dragons-in-the-Sun,donahermurphy,K+,English,Friendship,3,7799,449,1765,2001,3/8/2011,12/15/2010,Zuko,False
Water: Twist of Fate,https://www.fanfiction.net/s/6241139/1/Water-Twist-of-Fate,Sapphire-Raindrop,T,English,Adventure/Fantasy,38,156730,749,1729,923,2/10/2013,8/15/2010,"Zuko, Iroh, OC",True
The Confrontational Approach,https://www.fanfiction.net/s/7984018/1/The-Confrontational-Approach,Advocaat,T,English,Romance/Humor,19,129408,1527,1712,2128,1/10/2016,4/2/2012,"[Zuko, Katara]",False
Dangerous Ground,https://www.fanfiction.net/s/2689893/1/Dangerous-Ground,wilderness-writer,T,English,Romance/Adventure,36,107329,1202,1668,348,1/29/2006,12/5/2005,"Zuko, Katara",True
What I Don't Like About You,https://www.fanfiction.net/s/4266645/1/What-I-Don-t-Like-About-You,Trombe,T,English,Romance,55,382622,2262,1631,1196,4/16/2016,5/19/2008,"Zuko, Katara",True
Second Nature,https://www.fanfiction.net/s/5145003/1/Second-Nature,lazyartisan,T,English,,26,154552,620,1624,1478,3/24/2010,6/17/2009,Zuko,False
Dragon at Heart,https://www.fanfiction.net/s/7633516/1/Dragon-at-Heart,Identical Gemini,T,English,Adventure/Friendship,40,228347,1082,1573,1686,3/6/2018,12/13/2011,Zuko,False
The Problem With Zuko,https://www.fanfiction.net/s/6360866/1/The-Problem-With-Zuko,AvocadoLove,K,English,Drama/Suspense,1,26298,257,1566,245,,9/29/2010,Zuko,True
